Date,Close,High,Low,Open,Volume
2020-01-02,5.972710132598877,5.972710132598877,5.8932934905146945,5.943831396827032,237536000
2020-01-03,5.877111911773682,5.920928372082976,5.828067391556445,5.852963118433237,205384000
2020-01-06,5.901758193969727,5.906986253744551,5.757612845980144,5.783753144854267,262636000
2020-01-07,5.973208904266357,6.019016870261898,5.885078345508204,5.930139377975761,314856000
2020-01-08,5.984411716461182,6.0257385544708075,5.928894566530886,5.96897635709519,277108000
2020-01-09,6.050137042999268,6.122583429791417,5.9963625718214075,6.070800464998948,255112000
2020-01-10,6.082499027252197,6.187807606735664,6.068308718247157,6.157435008191646,316296000
2020-01-13,6.273200988769531,6.298345533895366,6.142996662156509,6.165652062086612,319840000
2020-01-14,6.156190872192383,6.255773286324428,6.142995840249502,6.2303794501994325,359088000
2020-01-15,6.113620281219482,6.191294723070188,6.087728800602581,6.168888615811465,263104000
2020-01-16,6.197269439697266,6.203244433022328,6.143743794176512,6.167145653513636,284192000
2020-01-17,6.205982208251953,6.2239071863079785,6.1584315611473315,6.216438326739693,253792000
2020-01-21,6.1726226806640625,6.206231838269314,6.138515409122078,6.1693861271914585,217916000
2020-01-22,6.2266459465026855,6.313282632634154,6.199011781976635,6.217932513980639,239240000
2020-01-23,6.295108318328857,6.3035729306128685,6.177850218205361,6.266727697494638,244516000
2020-01-24,6.23585844039917,6.460417163734499,6.181585856125672,6.41062570617511,373512000
2020-01-27,5.979930400848389,6.030966423020703,5.7815120107174875,5.931134704252316,470536000
2020-01-28,6.173369407653809,6.20573351675792,5.992626706174366,6.045903527531865,310976000
2020-01-29,6.11287260055542,6.195028152465774,6.073039159621953,6.158929378559876,258848000
2020-01-30,6.119595050811768,6.133038904613509,5.960014340885103,6.01503337904724,290504000
2020-01-31,5.886074066162109,6.085737042120204,5.84424958759745,6.073787055431306,370420000
2020-02-03,5.983166694641113,6.002585064742657,5.8616758097780455,5.867899621997954,255564000
2020-02-04,6.1524577140808105,6.171627743057658,6.075032563978959,6.125072840257428,271544000
2020-02-05,6.242828845977783,6.283657573028994,6.159428230355004,6.273450272554565,208220000
2020-02-06,6.329713821411133,6.329713821411133,6.196024598039428,6.277184406097356,218284000
2020-02-07,6.263493061065674,6.311790654923093,6.23809921644255,6.289633364489566,189752000
2020-02-10,6.546804904937744,6.547551363668861,6.281168163508943,6.286147404128844,529608000
2020-02-11,6.6692891120910645,6.784058057652779,6.593108557618493,6.655098802864361,638556000
2020-02-12,6.785055160522461,6.791528267665657,6.683231931565286,6.722069149885042,374644000
2020-02-13,6.741239547729492,6.80845787342823,6.699663884574611,6.727049233899253,528016000
2020-02-14,7.214503288269043,7.343462540126297,7.120148940430661,7.151517291595471,1041924000
2020-02-18,7.383297443389893,7.4017205376737465,7.09176971186446,7.111188084400259,620164000
