Date,Close,High,Low,Open,Volume
2020-01-02,208.98170471191406,208.9916611857842,205.4850670923298,205.9632362503966,12077100
2020-01-03,207.8759307861328,209.5993432329334,206.16247481333184,206.4214951445585,11188400
2020-01-06,211.7909698486328,211.9702775733504,205.73410509081359,205.91341281553116,17058900
2020-01-07,212.24920654296875,213.76342650198774,210.94419412594624,212.01012958151264,14912400
2020-01-08,214.4010009765625,215.41712371504224,211.80093248741233,212.1894477696659,13475000
2020-01-09,217.4692840576172,217.5489814496444,215.45696671091858,216.7121664337201,12642800
2020-01-10,217.23020935058594,219.04329096338108,216.59264536382022,218.365870677035,12119400
2020-01-13,221.0655517578125,221.1253210028928,218.3758293241344,218.76434461787986,14463400
2020-01-14,218.22637939453125,221.5337526530094,217.79802302710817,220.76667858028864,13288900
2020-01-15,220.30844116210938,220.83642311149785,219.30229003606652,219.7705027384637,10036500
2020-01-16,220.92608642578125,221.78281441202114,219.55133297790888,221.72304516658733,10015300
2020-01-17,221.294677734375,221.4441008507693,219.69080374860556,221.1850957154445,15905900
2020-01-21,220.5973358154297,221.52378950195134,218.28615703493648,221.31459714725702,14275800
2020-01-22,220.47779846191406,221.90234945838608,220.43794216509443,221.46402139771055,12212800
2020-01-23,218.92372131347656,220.64714892772494,218.43559568461785,219.9099594464481,11195000
2020-01-24,217.11065673828125,220.93604041017585,215.2876187694744,219.95977394406935,11905800
2020-01-27,214.05233764648438,215.2378117013849,211.69136121155654,212.28908407644343,13810700
2020-01-28,216.9612274169922,217.90762450066273,212.7074871808823,215.3175123150707,13413800
2020-01-29,222.38050842285156,223.34681836667303,217.6186996196204,220.59732684034796,33181300
2020-01-30,208.732666015625,210.62542979044053,203.9708567541024,205.74408203387992,48775500
2020-01-31,201.14166259765625,207.89586101350113,200.29489107678893,207.63684067968467,31359900
2020-02-03,203.41297912597656,204.35936096197258,201.72940780893686,202.66583317112864,15495600
2020-02-04,209.03150939941406,209.79858347801078,204.4191236550714,205.83371812682873,19628900
2020-02-05,209.31044006347656,211.92046495210462,207.91577375674157,211.7013009323716,12538200
2020-02-06,210.04763793945312,210.3863404560038,208.54337436177352,209.66907912641216,10567500
2020-02-07,211.52200317382812,212.01014400454648,209.1311269915593,209.4997293334174,12242500
2020-02-10,212.24920654296875,212.98639597581064,209.85834572407342,210.71507363764334,11856400
2020-02-11,206.4015655517578,210.05759797956097,205.72414530643192,209.3901494088886,25030800
2020-02-12,209.95797729492188,210.41623351860244,206.61076268946582,207.05906243898607,13813700
2020-02-13,212.32891845703125,213.51439247443096,208.38398111516298,208.72269883493678,15396600
2020-02-14,213.36495971679688,214.112105693358,211.8407831406701,213.18565197876964,10741700
2020-02-18,216.97119140625,217.15049914161023,212.58792595518747,212.73736426871122,15609200
2020-02-19,216.66236877441406,217.48921211553971,215.28761536378062,217.16046607383507,12135100
2020-02-20,213.76344299316406,217.93750087545428,212.13964090129903,215.69606298454914,13109200
2020-02-21,209.38018798828125,213.42475110828178,208.03533430714458,212.667633432267,14092300
2020-02-24,199.95619201660156,202.87503505427946,197.41589261066665,201.03208406619956,23080100
2020-02-25,196.02122497558594,202.7256106946917,195.20433806857676,201.48036738575624,21433500
2020-02-26,196.44956970214844,200.4443197282613,194.74608546917142,196.43961322852934,16524500
2020-02-27,189.0279083251953,195.13458553742868,188.77885969762588,191.09003825781667,21682600
2020-02-28,191.73757934570312,192.0065561487702,181.1281127441163,182.00475367147885,32568900
2020-03-02,195.69247436523438,195.8219845305823,188.13136081745827,193.29164167328744,24949000
2020-03-03,185.1826171875,196.4894321976902,183.26992534238775,195.4733094297256,27984100
2020-03-04,191.0302734375,191.1000143567284,185.68071323213715,188.45013303907226,23062500
2020-03-05,184.46536254882812,188.2708334294741,183.1902346057494,186.06923655233362,19333400
2020-03-06,180.40087890625,183.080644848617,175.58925709907263,177.65138724531585,24559600
2020-03-09,168.85498046875,174.3340506314528,164.56138428245674,168.95460600654283,29949000
2020-03-10,177.5119171142578,177.61152745321115,168.85498366139,174.0053078876241,24517800
2020-03-11,169.59217834472656,175.21071541879763,167.0219943894663,173.3478211345171,20373900
2020-03-12,153.88217163085938,165.96601625123438,153.75266147657888,158.93287003840868,43266300
2020-03-13,169.63201904296875,170.14007282800273,157.00027853050437,162.90770534348303,35028600
2020-03-16,145.45437622070312,158.5244604412561,142.5554613248833,151.74037726739235,39120400
2020-03-17,148.85137939453125,153.3541827613487,139.46722908985743,150.16636342229629,34255600
2020-03-18,146.40077209472656,147.6161155800919,136.57829226168954,139.2182019974518,37553100
2020-03-19,152.54727172851562,159.3213823046789,144.24896955192136,146.0620356741442,39862300
2020-03-20,149.16021728515625,158.66392254173144,147.43680483617922,155.42629000309913,32568400
2020-03-23,147.53643798828125,151.73040907298997,141.70869303789186,149.09049925485857,29830800
2020-03-24,160.36741638183594,160.6961624524787,151.98943062064637,154.6193839850638,30440400
2020-03-25,155.61557006835938,162.36976845358615,152.4775478588327,158.31524900720504,35184300
2020-03-26,162.71841430664062,163.37590635845172,156.42247264891014,157.64778769039623,26556800
2020-03-27,156.19334411621094,159.48078932521167,154.16111382741812,157.59798214562304,24879900
2020-03-30,165.31849670410156,166.11545545256448,157.45852163884277,158.57425476625656,22515200
2020-03-31,166.16526794433594,170.27954144509982,163.57515581637918,164.85028373148052,23676300
2020-04-01,158.99266052246094,163.5253336858919,157.43858421419338,161.00496262288522,19507600
2020-04-02,157.5880126953125,160.73599100959427,155.32664689098812,158.49455335176384,20886300
2020-04-03,153.59327697753906,157.30909380052398,150.2560341695938,156.55197617189143,25983300
2020-04-06,164.92002868652344,165.56754913399064,157.90680978118223,159.5405684124167,28453600
2020-04-07,168.1875457763672,172.73019098046763,165.37826954709635,171.13627344887402,31411900
2020-04-08,173.61679077148438,174.3340520875596,167.10168488464456,170.59832239996905,21664200
2020-04-09,174.52333068847656,176.40613783434068,170.91711117752652,175.23062032700508,23534300
2020-04-13,174.12484741210938,174.33405496638727,168.8051718973086,173.00911432455592,19355400
2020-04-14,177.49197387695312,180.54032664293595,175.94786934757593,178.2988889972754,21011800
2020-04-15,176.29653930664062,177.51189779495076,172.16233827230008,174.52331433859234,17423000
2020-04-16,175.57928466796875,177.37243784940307,171.85351167991757,177.27281231682034,23593200
2020-04-17,178.5579376220703,179.59397338764472,175.9877535565947,178.5180813229765,20974800
2020-04-20,177.56173706054688,179.81313146143222,176.09732973231,176.73489369012768,16110700
2020-04-21,170.15003967285156,174.7126127368552,167.69939428361732,174.5831025754209,24850500
2020-04-22,181.5863494873047,184.0768359738002,177.462104473697,177.77092236590673,33242000
2020-04-23,184.42552185058594,186.33821376934893,182.4530454837506,183.37951441982008,21426600
2020-04-24,189.34671020507812,189.68541271247346,180.14186685794718,182.53272775814392,28792000
